name	nmut	n_coding	n_flank	n_coding_nonsilent	fracflank	callscheme_name	cov_idx	N_tot	N_c	nsil_tot	nnon_tot	n_tot	rate_sil	rate_non	rate_tot	log_rate_tot	n_c	n_ind	N_ind	rate_c	rate_ind
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	319	316	3	213	9.404389e-03	coding only	1	28836904	...	95	193	289	3.294390e-06	6.692813e-06	1.002188e-05	-4.999051e+00	...	0	28780708	...	0
AC-P02-Tumor-SM-63B4K	1071	1065	6	827	5.602241e-03	coding only	1	28836904	...	224	792	1025	7.767824e-06	2.746481e-05	3.554473e-05	-4.449225e+00	...	4	28780708	...	1.389820e-07
AC-P04-Tumor-SM-63B4O	39	39	0	32	0	coding only	1	28836904	...	7	31	39	2.427445e-07	1.075011e-06	1.352434e-06	-5.868884e+00	...	1	28780708	...	3.474550e-08
AC-P04-Tumor-SM-63B4Q	455	455	0	304	0	coding only	1	28836904	...	147	289	437	5.097635e-06	1.002188e-05	1.515419e-05	-4.819467e+00	...	1	28780708	...	3.474550e-08
AC-P05-Tumor-SM-63B4R	41	38	3	29	7.317073e-02	coding only	1	28836904	...	9	28	41	3.121001e-07	9.709780e-07	1.421789e-06	-5.847165e+00	...	1	28780708	...	3.474550e-08
AC-P06-Tumor-SM-63B4T	47	47	0	34	0	coding only	1	28836904	...	12	29	43	4.161334e-07	1.005656e-06	1.491145e-06	-5.826480e+00	...	2	28780708	...	6.949099e-08
AC-P07-Tumor-SM-63B4V	116	113	3	71	2.586207e-02	coding only	1	28836904	...	42	68	114	1.456467e-06	2.358089e-06	3.953268e-06	-5.403044e+00	...	1	28780708	...	3.474550e-08
AC-P08-Tumor-SM-63B4X	165	163	2	117	1.212121e-02	coding only	1	28836904	...	43	111	156	1.491145e-06	3.849234e-06	5.409735e-06	-5.266824e+00	...	0	28780708	...	0
AC-P09-Tumor-SM-63B4Z	69	65	4	48	5.797101e-02	coding only	1	28836904	...	16	46	68	5.548446e-07	1.595178e-06	2.358089e-06	-5.627440e+00	...	2	28780708	...	6.949099e-08
AC-P09-Tumor-SM-63B52	90	83	7	57	7.777778e-02	coding only	1	28836904	...	25	50	85	8.669447e-07	1.733889e-06	2.947612e-06	-5.530530e+00	...	5	28780708	...	1.737275e-07
AC-P10-Tumor-SM-63B53	166	165	1	129	6.024096e-03	coding only	1	28836904	...	36	122	162	1.248400e-06	4.230690e-06	5.617801e-06	-5.250434e+00	...	3	28780708	...	1.042365e-07
AC-P10-Tumor-SM-63B55	26	26	0	15	0	coding only	1	28836904	...	11	14	25	3.814557e-07	4.854890e-07	8.669447e-07	-6.062009e+00	...	0	28780708	...	0
AC-P11-Tumor-SM-63B56	161	156	5	111	3.105590e-02	exome+100bp flanks	2	35889689	...	41	102	154	1.142389e-06	2.842042e-06	4.290926e-06	-5.367449e+00	...	6	32165933	...	1.865328e-07
AC-P12-Tumor-SM-63B58	58	58	0	42	0	coding only	1	28836904	...	16	39	57	5.548446e-07	1.352434e-06	1.976634e-06	-5.704074e+00	...	2	28780708	...	6.949099e-08
AC-P12-Tumor-SM-63B59	109	108	1	80	9.174312e-03	coding only	1	28836904	...	27	73	105	9.363002e-07	2.531478e-06	3.641168e-06	-5.438759e+00	...	4	28780708	...	1.389820e-07
AC-P14-Tumor-SM-63B5C	67	66	1	57	1.492537e-02	coding only	1	28836904	...	9	51	63	3.121001e-07	1.768567e-06	2.184701e-06	-5.660608e+00	...	2	28780708	...	6.949099e-08
AC-P15-Tumor-SM-63B5D	54	49	5	38	9.259259e-02	coding only	1	28836904	...	10	34	51	3.467779e-07	1.179045e-06	1.768567e-06	-5.752378e+00	...	2	28780708	...	6.949099e-08
AC-P15-Tumor-SM-63B5F	71	68	3	51	4.225352e-02	coding only	1	28836904	...	15	44	66	5.201668e-07	1.525823e-06	2.288734e-06	-5.640405e+00	...	4	28780708	...	1.389820e-07
